Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--delarc_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BV_pH7_1,-0.10276814540807644,0.09844926866014367,-0.021044874944440694,-0.21374992733335368,0.0374458728366248,0.011736389609134711,-0.04122831529411284,0.009261058196830362,0.032843706416695026,0.0533908849225744,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,-0.11480263389889962,0.10863900212732994,-0.013055380746803206,-0.23239920149111873,0.043059505881012775,0.011719443244130706,-0.054037271167516054,0.018668551746269926,0.041073216945742785,0.05547068473032634,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.09516940145712832,0.07187538753628084,-0.017412345481469582,-0.2218141453049105,0.04668058948591352,0.011944382329997805,-0.03788212578257789,0.005718402765367342,0.04480081603983822,0.05559435820126016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.10029641132842264,0.07233060423365754,-0.01725216987178378,-0.18862755913530352,0.03886594289184912,0.012442023517644922,-0.03952935232294966,0.02157989401289302,0.04122915102411871,0.023593794731018337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.10575518659396989,0.09410987634778668,-0.01854847988478192,-0.2010071591522706,0.0406269946232762,0.011805084856308027,-0.04087188573392189,0.0045813414235801805,0.05204405414102518,0.027351277822871573,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.10388459670195437,0.07082800915545741,-0.015272061116993424,-0.14454509971582372,0.030324708401508964,0.008997417685130365,-0.03935764913730648,0.004712824278875537,0.038172033602047864,0.014360339060101817,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BV_pH9_1,-0.09969714620069638,0.09344304421228236,-0.009732776738541284,-0.17475436571499575,0.04443016108125448,0.00875668798451838,-0.04185396378212001,-0.008923582768310673,0.04352260743875218,0.009145252023540112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BV_pH9_2,-0.10760922628657325,0.08747087874409297,-0.01088580082575588,-0.1771222469737024,0.03654900426328507,0.008851485961805216,-0.0446752252097687,0.007821977620377488,0.04211069545182195,0.021824374744749582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
CC_pH4_0,-0.0520313046394807,0.03995549941111518,-0.0006213596714255605,-0.07928723033679566,0.016126454800934248,-0.019565133912407835,0.010103531402090318,-0.012704387842880001,0.02338786514961849,-0.06102801682832449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032572508755295392
CC_pH4_1,-0.030733085037411567,0.0400657960233967,-0.005553293756978668,-0.09037034452528411,0.014191923462583323,-0.020428036369545308,0.008185237769199452,-0.0026613257303024123,0.022819505125365177,-0.07118045942857862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.004437627208196163
