Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--delarc_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH9_0,-0.05887445255628099,0.03038346731792325,-0.010971139985258165,-0.036043546209516726,-0.0005393072185309042,-0.011981132602238136,-0.013133264350826328,-0.06874301105737689,0.03165469548138588,0.014595179047597488,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.05118607028508963,0.030281209710823462,-0.003811542848530024,-0.03514679929646461,-0.0003595381456872689,-0.018103768001108068,-0.017326800163997257,-0.07266749218916117,0.0254136515473542,0.019254642501473428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.05783728605541197,0.02006393459180127,-0.0012367660908595378,-0.03346857490746872,-0.00035953814568726874,-0.010438504094338935,-0.015077196886034117,-0.06208720698304798,0.03280429736589609,0.003984327815149144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.033335121871660586,0.01623914792971767,-0.0028288812789580104,-0.023189728034903177,0.01688506554974162,0.0007161125799883962,-0.005924387580674629,-0.06419586762461973,0.027231226249233537,-0.055250079136179846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.0324487452743494,0.018574598501233955,-0.0009887157089036448,-0.02134689944917741,0.020120342989330707,0.0007161125799883952,-0.004263837191721668,-0.06972606190196845,0.018132998433126057,-0.05242230504913175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.016238429760155472,0.0011099118026702299,0.003947647670688836,-0.0317003468391688,0.014189481856706347,0.000664961681417797,-0.004033735347506795,-0.07203665652838738,0.02223924993010967,-0.04179459641161172,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.041013946912210934,0.006697773136522456,-0.0005380093727422812,-0.02187596138080825,0.011785504868173079,-2.4774677079656566e-05,-0.0036123094594349035,-0.06450204183388016,0.025096627930584165,-0.03566537443224503,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.045776039266391934,0.011380153674146404,0.0017591646232682718,-0.02919203317197768,0.015007094125384873,0.0009933801319288156,-0.0065705398130028155,-0.04979469192254804,0.02762125271655943,-0.04908025413751603,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.027111873155378774,0.00816650935003291,-0.001856458749136198,-0.038635038850100153,0.012275349390895468,0.0007920740350433011,-0.00547641436204962,-0.06472567650610987,0.02391302109412525,-0.030994005705351407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.05593817680588237,0.015911947730118815,-0.005166055297721988,-0.04065955703673156,0.02555398636861988,0.0008037254667800399,-0.006329036353398923,-0.09623682048495698,0.02527049548600031,0.013136977880545285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.06076565895229579,0.02147792265305053,-0.005338455843536751,-0.038819779052358616,0.026025479753380244,0.0015386369338502043,-0.01045461409441803,-0.10551481988119044,0.025958486779228507,0.022240288353160668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.06370418617582839,0.02452814014385576,-0.002131406206475651,-0.049834857281783364,0.028377756293377153,0.0011871131703905433,-0.013010329560417195,-0.1003389177341824,0.028103548892490247,0.02317062504265619,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.07419076458591481,0.04432534128427505,-0.011272755699313205,-0.05332788222185944,0.030940985997085994,0.0028192674919315015,-0.022456055988112227,-0.11115547659928385,0.03619134380279676,0.03447348440146965,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.06772426578175762,0.031456349683196654,-0.003331110038511132,-0.03491291039015936,0.019824939843105228,0.0015586130126662892,-0.014813253001674364,-0.12673210486445735,0.03387923075129157,0.03714199880219024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,-0.08994589194331482,0.03685155434129032,-0.0064602744660299735,-0.04559974281360274,0.028122398266973693,0.0021939705700978,-0.012092902994026308,-0.11763367417389936,0.03875988312875447,0.04215216685896335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.07389083425473908,0.03561370494734982,-0.0004228600001205577,-0.046451628768573644,0.026403255297437967,0.002026370796172513,-0.020554514893371123,-0.12207366879057628,0.03673263152008471,0.03896503110942634,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.07114089440392413,0.03957945470576701,-0.004036518759701561,-0.04464864992901035,0.029366394715464636,0.0017040554045335107,-0.017649509414382605,-0.11708023839994619,0.027630075039746977,0.032623318053134114,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.08816763147711755,0.033427316907631316,-0.007422024895963466,-0.03965013105584228,0.028130528507349283,0.001627049854268195,-0.0175610372164975,-0.11331474830922872,0.04523320004182018,0.03404496430540864,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.06460068371470853,0.04169801708634781,-0.004432421231075476,-0.03801574202011461,0.022586592137813565,0.000869565275700196,-0.008393347286011862,-0.12341056629691435,0.027397173565366993,0.02264890560151442,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BV_pH9_1,-0.05508061178514491,0.04230430486085623,-0.004432846505356871,-0.04079543262558139,0.017175159110971113,0.0008695652757001949,-0.014247741733232275,-0.1120345840246781,0.030025654449735,0.012564019800528237,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BV_pH9_2,-0.061527560175113065,0.031241442036369572,-0.005600677250843983,-0.031680629817040076,0.02479877990387057,0.0009207161742707958,-0.01601667821245349,-0.09828132573191241,0.01898640606066455,0.013507013518525205,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
CC_pH4_0,-0.01609237101414929,-0.004199359093023386,0.003711283067646233,-0.024832545601479385,0.02144295926813198,-0.011755837749527846,0.0024696193570676057,-0.067137904714631,0.023337578209845916,-0.05059593386300233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032572508755295392
CC_pH4_1,-0.025794224194858387,0.005467871097118956,0.0032096617523094876,-0.0226336105491804,0.020498071780995185,-0.009438863435517187,0.00200656572761743,-0.0743295725354034,0.021985568566166836,-0.04462398034237001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.004437627208196163
