Experiments,delarc_OD<--AC_OD,delarc_OD<--BA_OD,delarc_OD<--BC_OD,delarc_OD<--BL_OD,delarc_OD<--BT_OD,delarc_OD<--BV_OD,delarc_OD<--CC_OD,delarc_OD<--DF_OD,delarc_OD<--delarc_OD,delarc_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
delarc_pH6_1,0.0002084373156337634,-0.06765740472256492,-0.009687470936256914,0.003393963023858228,-0.0015027721671630504,-0.020595558586165956,0.021224466263438064,0.03770159776444021,0.37257053873056295,-0.010227967733112372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,-0.0010934984295264557,-0.07609885132588122,-0.010097748399104758,0.0035779123591340046,0.0007699530280154765,-0.01909032598137856,0.026709674003979434,0.0317720885809673,0.37672343989915175,-0.0011396955569153307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,0.02186635642595912,-0.0679369477984374,0.008727920068346938,-0.011828374503909247,0.0010711867337965424,0.00918972700024429,0.030438599632648035,0.024199331576895456,0.5209418002386456,0.20188505586479674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,0.013051082538035897,-0.06214948824647329,0.0037131010668109326,-0.012482338516932466,0.005833054284524659,0.0026730411183898827,0.02330575432871346,0.028249906329033174,0.5151329238801872,0.18561980442265458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
delarc_pH7_2,0.01546628047671656,-0.06774864221882562,0.0037224006709521184,-0.012950817808184936,0.005112990688370617,0.0055821891064229264,0.0253286646047364,0.033892869090904366,0.5104079771122854,0.18336528118375847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,0.014008257532411299,-0.07171937749923574,0.009738256821165907,-0.020742802703348173,0.002049547747263448,0.01835256309208014,0.024683137815445674,0.016342769059474068,0.5659202249194294,0.26863185008744833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
delarc_pH8_1,0.018722586703851175,-0.07385328078480517,0.01491179360643677,-0.023549311903669785,-0.0006356145862651924,0.018047201035787216,0.02808059070097364,0.018180923011639837,0.5661130160287671,0.25974776426654145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8378107178569503
delarc_pH8_2,0.016873543292445975,-0.07242925129425914,0.008256000147565544,-0.024362964004116215,0.0017815748237721327,0.013501690985715915,0.029776483087436016,0.01882780916907865,0.5731246310237633,0.26166331843513513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8442380625189879
delarc_pH9_0,0.01036005399878258,-0.07509946601141404,0.015348149337198419,-0.02600768568237192,-0.0005019861297762901,0.02018295337810463,0.03167008872346387,0.015667218353761277,0.5922417893123042,0.2939537128028662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.003926186226973
delarc_pH9_1,0.01590520508425391,-0.07628878675644163,0.012956653596914326,-0.028775233598830913,-0.001985183333897076,0.023862887746451993,0.03283858581810543,0.014264603572209253,0.5845838071438282,0.29738288802297225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9964236708955914
delarc_pH9_2,0.016516264006495477,-0.07676559449537938,0.014278946917342106,-0.025594379818471867,-0.0015613603559525074,0.021203364664283787,0.0314003562838163,0.014272436220198859,0.5933665588093193,0.2889486016689435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9996501428774356
AC_pH4_0,-0.0014688672433080883,-0.014195174856678297,0.002073576463305432,-0.0022875541675349935,-0.00011683717693971605,-7.789357848789327e-05,0.005701043268908625,0.009486388262847194,-0.05549798679335609,-0.04438895707464088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,-0.0012925924579410444,-0.013262878316252131,0.002394291567413703,-0.0012056309729814526,-0.00031787495574225617,0.0003495236453802682,0.005184442054318346,0.007678674346078995,-0.05838126063265878,-0.04191895705688259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
