Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc-_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH6_1,-0.03718562022995447,-0.006377959346560683,0.01518675310840911,-0.017365577049026998,0.02334360454008793,0.0036910318247164067,-0.12485900804319462,0.03452761151837995,0.006066776584611152,0.037801470429049404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.02566236767027041,-0.005357238894085521,0.018354133411675046,-0.014126221018782614,0.015560556730842624,0.0013914039760382598,-0.11923513817600914,0.026018483293364227,0.0046620887356972245,0.03322338294804744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.031156163056502522,-0.012138643021006945,0.016273609203812867,-0.01908138385315871,0.0189705057579862,-0.003620239339728395,-0.0952772537781857,0.026323169354531585,0.00796133681686352,0.02657414528105975,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.027946991910651812,-0.010670438791098804,0.01642576813029692,-0.016667433976519694,0.021012106694321596,0.0010434465804744673,-0.09355191896578458,0.019219953769959674,0.005905601101846474,0.020058990577337045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.023076997274107745,-0.01220613731233322,0.014363783025385244,-0.016345121921343807,0.018064718183595695,-0.0013681371112192126,-0.10859310954657349,0.03525849464906218,0.007422455225909209,0.021309135418142312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.0369525810633786,-0.009770585719657984,0.014453271901660155,-0.016237888410687448,0.015577941841607837,-0.004873357471483558,-0.08265451626022062,0.04103022788337472,0.011092272768930895,0.003164297866371824,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.046366443509924346,-0.009624648707635379,0.011843946771291285,-0.014098065807787781,0.024718289067766262,-0.0038517720430441523,-0.06613133523430997,0.027207780768386213,0.005697513658593854,0.005433818373181248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.0316607382170775,-0.008474693501206198,0.010934178275056184,-0.02061399686302099,0.025169445066510338,-0.003528739635164484,-0.07118617504551682,0.025158865102566774,0.004025369294838088,0.005005568859531827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.03600441081965666,-0.007119039286575889,0.010326729015163755,-0.012926219093674068,0.020703012659214436,-0.005454248281236252,-0.06813525281816155,0.03059311035544733,0.00854975823343367,-0.005704356714900907,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.045608962846757924,-0.006105858007364949,0.01186804754608918,-0.014633549341182833,0.0193484008957065,-0.006236056042531426,-0.06307504697297904,0.04341819518630433,0.010755164979896302,-0.014901252060662958,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.022075752628177566,-0.006808002202812097,0.010132073327979963,-0.00893791419018627,0.016300214243161935,-0.006195223412031064,-0.06395221538214095,0.024065879057566436,0.007570904998068249,-0.015270880474911437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.014264997662773919,0.0010863983386155708,-0.003053742772595877,-0.008887451981832072,0.007496473059594713,-0.001620284450321417,-0.037900906717303486,0.01889880356125776,0.005340430087146714,-0.03226563536855595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.013295740116711544,-0.0026054677142478204,-0.003233374700395635,-0.005592872940671995,0.009619124102426449,0.00016998799011597147,-0.038791962069783206,0.017942874868623105,0.006465748294216135,-0.03584923399480708,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.00988714750117177,-0.0038637691547426046,-0.003413006628195392,-0.006376519944954097,0.017073730978831324,-0.0008562522643731664,-0.03733330848231993,0.011917433026145495,0.005210070201580453,-0.037642146142746295,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.010592402381539022,-0.0062292663431119015,-0.0025695906301110016,-0.006560132068926064,0.00634207562705421,-0.00015615522912096019,-0.03895700577150465,0.02101290956615349,0.002719378464490823,-0.03018072780940438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.015194804875797633,0.0034353421699336705,-0.003000292244023118,-0.007970839878493598,0.014377030386872916,-0.0023934062841631794,-0.040868796970108125,0.019226208831102622,0.005287781517810957,-0.03806913609667075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.007724293493260831,-0.004413821785103367,-0.0014082548253076248,-0.006990278795989151,0.008826158262141375,0.0006056903125515778,-0.0442266542630513,0.011894598086263338,0.004397586265416898,-0.026131643855073692,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.012924253021103695,-0.008106412373118752,-0.006644854303145702,-0.008444704265313466,0.011029687268133075,0.0033448543537246147,-0.0632020144972383,0.016554920523852597,0.00243499871171282,0.0007868636082655371,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.01950691692966401,-0.005243483332299589,-0.009207445360598681,-0.014714563962770625,0.02148790758487809,0.0025960106245727964,-0.09832746285935057,0.024643989604715585,0.004113909228320194,0.02898714109374534,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.017109045826870457,-0.005720511072052076,-0.008388891568326432,-0.010575801265709424,0.009322156940951294,0.002557434095980844,-0.08430751285323385,0.018725319311083493,0.004236864249181488,0.026089074234478184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
