Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc-_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH6_1,-0.015260419581571347,-0.028629272777749137,-0.07319934296219248,-0.01816250997716966,0.0011042091639145567,0.003183451764609503,0.004025454756034458,0.023163246740789515,0.0018859549595609962,0.003538915942544523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,0.0007485068152132242,-0.03699581990909316,-0.07900640264801356,-0.016251332160571345,0.0008985324398331019,-0.003806711639399112,-0.0004708500676181009,0.03482342487444048,-0.0011400875627346646,0.0028504276923511348,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.019937728664473343,-0.021664221813173398,-0.08365678596269825,-0.026084459937461047,0.0017301355431909148,0.003406353324003841,-0.003222397450843583,0.032037442297391264,-0.004799409060050611,0.02384075867417066,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.016640558375612548,-0.02951376494020224,-0.09162768076943316,-0.025158101074073628,0.0017870910076991378,0.000470507825198382,-0.004319074732129989,0.03686003959211319,-0.0011180471693691993,0.03090927550812131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.014413297668747277,-0.027389817255670613,-0.08907647396397332,-0.01749626479557027,0.0017252147975175276,-0.0008342548621737441,-0.010707505615833012,0.03600193670100492,5.130578318368515e-06,0.023835018354913463,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.022128531557062403,-0.02717106004771979,-0.08292664428605981,-0.022208350040018556,0.0014779127162435795,-0.003112684282595698,-0.001816507804652918,0.034480308522672753,-0.0006896895656119215,0.02574493430878805,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.013520501257608767,-0.03399885520177043,-0.08939012948585594,-0.025605254035605037,0.0013018246059832365,0.0017731327239585968,-0.007301011046637661,0.03660516216055207,0.0038953398249071585,0.02788997937803683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.028873024398218036,-0.02260039199305617,-0.0946683127999954,-0.02171701489907244,0.0012900294428286351,0.0009111300046029319,-0.0074115111273915886,0.040228531190558615,0.004915633679408095,0.02957461845291698,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.022886041934075566,-0.03587458392038293,-0.0774179546923741,-0.01773020408075789,0.0029073284825553076,0.006150165311992168,-0.0034122738306937017,0.028177871976209728,-0.0033680706697961555,0.025103451243561253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.017165214944144958,-0.02918756300178558,-0.0884118019076793,-0.024409991339173,0.004172804964625319,0.004247263540392336,-0.005392886999508612,0.031835853821881435,0.0007665655292246655,0.02519465651525104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.0234625512264345,-0.018003205375179,-0.08615419702361457,-0.02401692033299934,0.003595923574074456,-0.000393580201527346,-0.005007572106045226,0.03074463385602703,0.0020522709773934432,0.022294885346099077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.004317544177174569,-0.026425791139835893,-0.04035952275537926,-0.015457220309130524,0.0009864360968703813,-0.0012896240891321833,-0.005593091620375282,0.024606381951142908,-0.0012207835637356923,-0.029279552552363152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.0037812187247302227,-0.023273724659305547,-0.04789170124608538,-0.016670222083187622,0.00011489966965240023,-0.0012137638485949954,-0.002136253748574982,0.029355048812601873,-0.001353041422755821,-0.03150033471377,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.009379144549045872,-0.02419917991789786,-0.03503303572859453,-0.011700434594050698,0.001944483712963436,-0.001062043367520622,-0.004290344114212886,0.016513748285563092,-0.002457943216938038,-0.02868641832600469,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.008293613137110419,-0.027840320480906434,-0.04531973410559738,-0.01433066968522642,0.002057558978381364,-0.0011620960643757927,-0.002617147652351338,0.024337727919868806,-0.00075302797815074,-0.02442898990829354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.009788330582820852,-0.027121608500247415,-0.040624747946858414,-0.011079382902902108,0.0023242347509316785,-0.0012896240891321826,-0.0005119924328249433,0.02142559636546218,-0.0014097407622181847,-0.030274715783155486,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.013655775446930663,-0.026945578441347755,-0.03953144604907088,-0.007659235954608606,-0.0010812335720528725,-0.0011908218426548909,-0.0021415971916006957,0.0174112134086697,5.184974035491998e-06,-0.023561022429038642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.002434813775446104,-0.03673788053348012,-0.0575383302650374,-0.01675395587378222,-0.0003065935360348746,-0.0033494091260692347,-0.001362876057948755,0.029025522280970342,-0.0021186129360095305,-0.006773362115997335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.009271868927323299,-0.03928623718897933,-0.0652422847647382,-0.016568528904539092,0.000970543687758239,-0.0020443957558144675,0.002041555555618329,0.027936250826586854,0.001085125536698361,0.002029526875070904,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.011167108693524547,-0.031649264550727335,-0.06200202937197425,-0.017043212891920755,0.0019785593871189193,-0.0024711578371732117,-0.005245172527173291,0.025426085803495802,0.00031000385951736835,0.0035129838404448148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.003993449661394825,-0.04815962205924417,-0.08841408458902782,-0.01675924783167632,-0.0032663778231843653,-0.0019717508133338837,-0.0021255389293250823,0.038388115219447926,-0.0010929839685559263,0.029044628569289393,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.014563491794726121,-0.04787799230412295,-0.0821662731549662,-0.01541337286486574,-0.0037719291173245583,-0.002236238789299259,0.0005213945925883633,0.0461730199355794,-0.002063641420201115,0.02304821296554545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,-0.023075327614079353,-0.02299791441177544,-0.09005540864785082,-0.02193772753133722,0.0009865132071401766,-0.002053241493261377,-0.016247388744807755,0.048502042159114196,-0.003075758361298105,0.031603899317915025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.009100012912050537,-0.04489590893944967,-0.07057599312261395,-0.02218983284967101,-0.0022119374038732584,-0.004392090932182643,-0.0027639412151082704,0.03470879779075799,-0.0008292219123762571,0.023899828414230245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.02616767578636823,-0.041697151205785904,-0.06282296079494382,-0.01863082909713621,-0.0024530718783321586,-0.004037906491886013,-0.009222843988758066,0.03880521917796653,0.0004320124455768128,0.027444894644229306,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.01792333386838436,-0.04072658123529476,-0.06694154520883508,-0.025907001908382642,-0.004539926500748032,-0.004604425297483153,-0.009726430637680963,0.04046974090130433,-0.0018099131613321915,0.033359104035341224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.020584521410257923,-0.03765209037648595,-0.06114019468912612,-0.0250701269717968,-0.0005749364164860344,-0.001213763848594996,-0.010682977658251058,0.03769988315908806,-0.0009414878876312908,0.021809903305509814,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
