Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc-_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BV_pH6_2,-0.09471313533494655,0.051076025718256195,-0.010478976871818308,-0.16172882572302355,0.030991742976981658,0.004133184241211935,-0.016219005092330603,-0.017485009843240615,0.04121761898307697,0.03888599355907544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.10327038664046836,0.07835436006926973,-0.016528800359481705,-0.19932693470755344,0.05007681100831731,0.010571745326337603,-0.0332551973823296,-0.009823474509884482,0.025556329450691525,0.06332515971046752,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.10652753706616552,0.10202753423672659,-0.017868021645623705,-0.23019521130248904,0.04552494392689803,0.011736389609134715,-0.03309776702490838,-0.012366116744182684,0.04037436500677594,0.06607103278779465,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,-0.12088226100348909,0.102729315313956,-0.02769424806794395,-0.22433799029530388,0.04884499923204598,0.011167697747764377,-0.027667946016172996,0.004006149027820514,0.033018269376910256,0.06649562607316867,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.12816573446049637,0.09995499901311553,-0.018742908298483366,-0.2085229088896482,0.0542318593216655,0.011281681896551795,-0.03986250411071207,0.018264056307709088,0.03774604098304458,0.03949503097035315,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.1201989097698875,0.0856606255552691,-0.021740813872412494,-0.19584244393946035,0.0443335087629764,0.01187129638765169,-0.039270733327645316,0.020215511052342858,0.036878116958491185,0.043773455674071676,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.09434292337897678,0.08966369644333812,-0.015718990949023036,-0.1918559698213863,0.02399845725087368,0.011805084853068647,-0.024015995864149018,0.005101930546047893,0.021309758040892045,0.03973456540185472,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.0991303115516253,0.07870557368773481,-0.02085989043278539,-0.1856142785594515,0.05008103933833216,0.010125376825099407,-0.04560738446271937,0.002956229131668801,0.03160497344220463,0.0434182949323693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BV_pH9_1,-0.11985050380796843,0.08719268790081791,-0.019489498458316795,-0.1361830967275993,0.027617437810353612,0.008514819818994273,-0.03432626228779555,-0.010671455319970848,0.03934868970804888,0.023526793027539617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BV_pH9_2,-0.10920686611986677,0.11116387383890863,-0.018073741076109203,-0.19064019503152885,0.04397903518022403,0.009072344115246902,-0.02561365062289912,-0.00291923930099153,0.029893486627742,0.018024565562929796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
