Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc-_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH7_1,0.07741085969721496,-0.06562778214559606,-0.006799190258202342,0.038381372438338786,-0.12808472997792383,0.030913343595583797,0.06077565654707344,-0.022561321363824865,-0.0069675465300679225,0.14318012879189587,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,0.07713065563174692,-0.06748086648628762,-0.006188929080963135,0.040097713414579635,-0.1304628186980667,0.03329144445531395,0.06501254534753768,-0.027986491466669945,-0.0054020946626753856,0.13987550849580893,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,0.08038631755534718,-0.0634630402274754,0.007267570274517577,0.039588902253333655,-0.08938928697582173,0.03684477566295991,0.06997150202322265,-0.022348390776340075,-0.00027411940710051413,0.34492196424256855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,0.07341268435930429,-0.06748267628333492,0.00040986459864222164,0.03603739358646714,-0.08398679695861498,0.03833383073220435,0.07438355067258944,-0.00476977390277644,0.007576796052896456,0.3686759946017486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,0.08149670236541529,-0.06535699229606466,0.004699054568520047,0.034442722819259634,-0.0840463810414076,0.03626410043029034,0.06824373907531082,-0.007205997235749092,0.004280419656601936,0.3728529134894843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,0.07349268565440308,-0.06942834674664165,0.0020000481192508296,0.03848981214201322,-0.07663412481060494,0.037100710408843086,0.06467056962297014,-0.00048170294774615383,0.007399956739467118,0.4468045617405164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,0.0762206760275623,-0.07114760250662981,0.0036884744149511275,0.03632404875496159,-0.07635600241953912,0.03604974280556907,0.06330816935180972,-0.00279555051628014,0.00672181219753364,0.45922422580744915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,0.07225662183907366,-0.06355511748677363,-0.0006134168358276789,0.036413809247314924,-0.07587864848420668,0.03200308438714433,0.062480021058379305,-0.007740354818980329,0.010183765942473772,0.46978581063773317,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,0.035218079923449636,-0.05002366812332817,-0.012356958459738812,0.01549680241667058,-0.004950401553803159,-0.0364828188571593,0.03083721072615489,-0.004990440022362316,-0.0017058759085510095,-0.3323229547751987,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,0.027795389619372456,-0.043867990532485045,-0.010144957410900489,0.010981120991965996,-0.0008340109787557413,-0.03527004294421361,0.02831358540722209,0.004855945484469763,-0.001898543541522128,-0.34144371850901983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,0.03405310297222889,-0.04649373305556567,-0.01018596439338897,0.022059231964142424,0.0062831552148513185,-0.037946360101518445,0.022829540911252083,-0.011279011659486136,0.0004088141356149466,-0.3413958304780333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,0.04443937141286291,-0.06863686947152019,-0.00771781375793659,0.005775483620717473,-0.0012117429976554,-0.03450669123264758,0.034231827765217306,-0.0016587267492128499,-0.0013948760335536173,-0.3031220017616516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,0.028464977787402656,-0.05140518146364584,-0.01218759178872342,0.01712175148012846,0.004129338905053295,-0.03829677754122276,0.024509975401603663,0.0017570478817366976,0.0017716240931464268,-0.33106749185239503,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
