Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--parc-_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH4_2,0.13295672798934194,-0.03401918343065873,0.016003144398007704,-0.026454545967280866,0.003390494039201218,0.01916697729864846,0.023211114565315452,0.015321905716605806,0.011474986763104149,-0.21725349838481006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.1390644780514033,-0.03753393354299275,0.016220604417764625,-0.02545258900555579,0.009047707418060819,0.01479823514657176,0.020893975674458175,0.022106323566125786,0.012370755413304202,-0.2277174336819545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.12896421883093273,-0.032734398942278774,0.0159658279788235,-0.02466056310288284,0.007851020965887153,0.015836702117129512,0.02214012479976467,0.022793891596729347,0.010953685570022334,-0.22331238819043267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.13783516031406493,-0.03134689360371101,0.011431849419098835,-0.025092063797232896,0.0037522411654176938,0.017369373639964544,0.018624427911380068,0.016722537915667763,0.013545616455376145,-0.2190441279404838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.17660604024386928,-0.048147222717171145,0.021483838041515463,-0.014659181373274845,0.014234905544182523,0.03505897469656623,0.03089854023702767,0.040281311351320015,0.02516604895824971,-0.1542245710624949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.22445199115768727,-0.06268302871157293,0.040238005418492394,-0.024014940485358235,0.02608869790868916,0.050384906528760556,0.04150186394705721,0.047240769181238554,0.0294391538883033,-0.08853160248664413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.2119141077088273,-0.04488360980120692,0.033992450899727966,-0.021259862169947307,0.0244615876885212,0.03502483963318493,0.04335069643576507,0.04624670168951803,0.025481916942998124,-0.10855295493388953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.36939909444554997,-0.05800949403287272,0.04919983443844577,-0.049013765624359905,0.03891231717136892,0.054441297634140316,0.09897816115747327,0.05656259690451883,0.04859431093801622,0.10222534898830497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.36978518113493924,-0.05074044216910135,0.042605997864966806,-0.048073239846398004,0.04935188613184119,0.03462957743231369,0.06897730883048929,0.07034737447843602,0.05623052574370219,0.1208560727228937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.36801695277833424,-0.05865951990303787,0.04171403363509023,-0.04061775270039619,0.04071613483778809,0.044107878582309114,0.08870543033856411,0.0657619260445885,0.051943957765141276,0.111770387314584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.4261464060519054,-0.05817394724844589,0.04213172437056251,-0.069926802980835,0.04227879912470992,0.03649778104022793,0.05795623940618144,0.09330774103817731,0.0669400284649885,0.2146436004632194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.43388194655594636,-0.06767883462750394,0.05126177243078533,-0.05997912800668373,0.05002878199614911,0.03340888701055361,0.05702248855615442,0.08747784370151548,0.06760181116831045,0.22790884347389578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.4389586628034063,-0.0642110329915,0.05280639402244402,-0.057206910226656034,0.040675604353132465,0.04157420265447834,0.05076144400012233,0.07644712108794761,0.06782558781945189,0.23592451337886897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.4663320627711389,-0.06821458424562991,0.05455904984927693,-0.05786248283541719,0.04648583294418844,0.04541683070199645,0.04415197967349187,0.0945242423709968,0.07550586577990781,0.2797198533477343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.4778758360996193,-0.08023925968972236,0.057609999025969374,-0.0662308027141768,0.051281172565144056,0.04581855346489212,0.044430498349601825,0.1001006270604937,0.06766614955242564,0.29594210973576374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.4794091783463954,-0.07007313801704541,0.05238301073565431,-0.05642644441646078,0.04753639342830231,0.04184824947753678,0.04646085448239161,0.09759082403033972,0.06441913596637872,0.2971642003014036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.05446789647897948,0.005611405424449755,0.007552629205519739,-0.006936480825685937,0.0013163658749798066,0.009171112395175126,0.008698901260352655,0.01582509561077408,0.00846601278723582,-0.05143902165572281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.06047308651001559,0.006090014042413755,0.00967832176743642,-0.009392403359322444,0.0018071620263483213,0.009679341473333214,0.010678296725711101,0.010329277118586977,0.004105194351919319,-0.03870399423591469,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.06166696916941714,0.005865389163727345,0.007541633687265541,-0.007385493034253951,0.00238213266853405,0.009210240597958146,0.008910635155828102,0.015174691607446777,0.003973174508175123,-0.04020731178638728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.05921286759007237,0.007028555552596632,0.01199945577946694,-0.010145492905183979,0.0018818167742827665,0.01258930643291577,0.007815259298228697,0.008635901680783088,0.002527902798484201,-0.03932171720687462,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.06333074141293765,0.0059536868107059725,0.010807798425464525,-0.0038590464740991593,0.0012535837422246521,0.01045074363765509,0.012366959091437897,0.010835286228229168,0.004455176425044951,-0.0451353228756267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.061035307085384495,0.005912163377456045,0.00701870279305655,-0.00682040877316309,0.0020763992696352616,0.01419648055797038,0.009992167648413906,0.008615375499686469,0.003354451377754626,-0.039511901067326896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.08677916844901835,0.006852941108138666,0.010682764433972215,-0.0025329264269574815,0.0027540224709588536,0.009104062359294163,0.006219477821951327,0.02252113788672115,0.008220931730516579,-0.03324511933747841,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
