Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc+_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH6_2,-0.07510046532377601,-0.20842129754388464,0.009902074556473801,0.010339885859385781,0.030740277921052075,-0.01884214594960213,-0.007457238040540527,0.04006400786016298,0.045237567520335975,0.015513430348718944,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,-0.11837669443258127,-0.23089361437798842,0.005809718103998382,0.011992285071831685,0.04495722070822248,-0.020382670546355453,-0.01666262240027604,0.053491179782735265,0.042516625416667564,0.06952466967637125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BL_pH7_1,-0.1313758818133046,-0.2210624752987338,0.00350342489455057,0.011521148202211964,0.050239501788240416,-0.02524427860408374,-0.011716756246498101,0.046078506078085175,0.05015895243572152,0.06987395556643604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,-0.1176549620302799,-0.22385450794321038,0.007716544073722933,0.01234540206258712,0.04494218154850862,-0.018205035294041688,-0.015027000440041658,0.05251084226790979,0.04495107255552126,0.054251560031881786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,-0.09580481803206646,-0.2578846997727195,0.004557147418027338,0.011233923801261444,0.06175392701250054,-0.021170742366786892,-0.024531064065092287,0.04402448070195058,0.05302900850610888,0.06676893400514256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.13001491952120608,-0.24023120126160596,0.005052119872492291,0.01048922206639595,0.048586613814467966,-0.02143473598539181,-0.014380599930882452,0.05361244546654432,0.061319484680729085,0.06897766805132445,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.11948013896446512,-0.2150848433723592,0.004238444749751816,0.010394733977382598,0.03655067162021347,-0.020382949713131655,-0.011676875174693435,0.058185128352564314,0.045403010794164034,0.05382891498344101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.10802922646555566,-0.23025760929707606,0.00018822255827810003,0.009310170986244209,0.051884356556541264,-0.01456644885727893,-0.024628591263747734,0.05224175838348659,0.050592381265824264,0.05524108662553456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.11874500313773753,-0.20584102732169887,0.0037947233256114573,0.008270835235876883,0.033538631930461395,-0.023285445291548964,-0.020903199669783528,0.04129650854951015,0.05317204646766185,0.07067802650692022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.12915667077040546,-0.19585647496516292,0.004283176736663217,0.012655450376155586,0.047194605005662076,-0.015360330254973284,-0.01269714238608013,0.0378664094104391,0.04698038581758738,0.046066688245729244,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
