Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc+_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH6_1,-0.052380309338155004,0.020119228259376856,4.614141972168434e-05,-0.02700651055282873,0.021669717388956445,-0.020699885954027594,-0.009962645302648131,-0.09534671358602202,0.016876428872346874,0.022823193588334584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.05634929104667643,0.017858662934083006,0.00044277428284935245,-0.028894288436226222,0.016976095357018973,-0.01823428682497014,-0.015461973857296552,-0.09888731070510721,0.031498624797424546,0.027189637746499934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.06200820383980221,0.03337503912008327,-0.0008504252524479582,-0.047285981077862825,0.017765195926894316,-0.012947416840040167,-0.019175031405428186,-0.10067929924830142,0.029939418218058084,0.03800534037954133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.07495818974693183,0.03490570432951918,-0.00075852789308714,-0.035849056684452554,0.02128162276485692,-0.023730900640720906,-0.014866358809497047,-0.1129309341279061,0.034382639057610354,0.048662638583261024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.0806467603503362,0.03517918977076593,-0.000889596874299256,-0.04843199652174244,0.028325257826110582,-0.015075619826498243,-0.014644917345241358,-0.09804594603407643,0.030556349517858544,0.03981268283141695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,-0.06921522594988348,0.02727729046474332,-0.00015023254829904325,-0.031928655712500864,0.021100564547207046,-0.026111116231135698,-0.017323659143370133,-0.0736952022495477,0.028684064046196316,0.017500817646151003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,-0.07531604429140036,0.036363022677276445,-0.00033385684956674963,-0.04009791570837083,0.030314822903145907,-0.02263176799630342,-0.014146598707074706,-0.10363991900630619,0.029709723769970563,0.0359171771776417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,-0.06497130684554576,0.03202349139944366,-0.0004622633301693477,-0.0341803492265551,0.02316149642448062,-0.023477726351955663,-0.02119581417221091,-0.0851101372067047,0.029251071101297505,0.021100182478194656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,-0.08403970996484808,0.043843156432975906,-0.0004109007379283087,-0.03341173804324606,0.031695134947481364,-0.025529819103362765,-0.01822530371015486,-0.08850203677364017,0.029908490550258883,0.020811371372445767,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BC_pH9_1,-0.06961348290676656,0.03918422293403874,-0.0004365820340488274,-0.03983443367416444,0.023472469070035477,-0.022878812629243604,-0.012879046551559284,-0.1027365376379179,0.03153787715927414,0.030322969011638473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
