Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc+_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH5_2,-0.028896402612571485,-0.003824989185061145,-0.00822989652095281,-0.06923107725284672,0.008157489056010613,-0.019452985635270238,-0.009641657595563194,0.002882722912194286,0.022489478610779927,-0.024894981577830478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.05428136875286052,-0.010903108550802522,-0.007853773116822475,-0.0697428783547619,0.017344619069329426,-0.027749149625230094,-0.02170470085076016,-0.005677853666407908,0.027863574703021535,0.022062339344183387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.0781407539639622,-0.009149323455665423,-0.007275618676339154,-0.07278470631567358,0.02379196189586883,-0.024225729528571594,-0.02147982141610397,-0.01674196778189229,0.03705197337043026,0.038311686070797886,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.060034543919660475,-0.012582708660351194,-0.007544119263715717,-0.07407068375417074,0.019830505314647508,-0.025144120028809357,-0.01987757591085265,-0.011371575069573266,0.026623882784548664,0.03352863870682599,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.05030468189845914,-0.00984417083794656,-0.01620261206332108,-0.053376465459232726,0.019530040307132446,-0.04257617081151061,-0.024614617881648565,-0.01360376216835626,0.03089359177640923,0.029456548652733148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.0752291230464597,-0.009628071075548297,-0.004602333535642726,-0.057272545347476125,0.028729255542806968,-0.03075541519843366,-0.021706793724923675,-0.016692088157262492,0.03569119678931715,0.02082361753463097,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.057172548984703815,-0.008997700706772182,-0.006041715375512189,-0.06995972551121983,0.03307106506929773,-0.04155455983810775,-0.022020568277929788,-0.011542236720738206,0.027383506724853873,0.026192183819720934,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.05794036322273315,-0.005665908919080445,-0.014905544356240525,-0.050607938948694774,0.025880786896804755,-0.028257876781989693,-0.03159243717384728,-0.00022653054607951056,0.028998529834915753,0.0036749834158336355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.04333614317983714,-0.006099641637309738,-0.015173519557422917,-0.06993180749654446,0.028524239602215264,-0.029140965350215205,-0.0292567844664597,-0.0026523473943867123,0.023414657300986023,0.013010012377863343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.061619691917591764,-0.005880272880844448,-0.01620551613604893,-0.04336064510816789,0.012986333163698084,-0.01892814367240214,-0.02004229673751346,-0.0008106844928925466,0.021392555321445277,0.0018260626592065984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.037273923704076714,-0.005937984462665475,-0.010392599765049377,-0.06483032525395571,0.02267751807994817,-0.019094012499098544,-0.023514781397079,-0.007531460377428195,0.01899792591271841,-0.003742656593575428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.044772851646513394,-0.005959102796471638,-0.015609261461979025,-0.05084982574755408,0.019683657366296518,-0.019575817755463975,-0.03114057468736301,-0.005429273035539234,0.02634092229539933,-0.003330172331922728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.047591637594463394,-0.005583228021860124,-0.008755517435948485,-0.04696128872628121,0.022232368968265206,-0.032953149392067095,-0.0194737298393865,-0.00769274999994947,0.020679511547736496,-0.004542879307156672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.017951499563439385,0.023640983091748276,-0.00039605810590412344,-0.10512917965569575,0.019717281376538068,-0.017351764033184107,-0.01694305988919476,-0.00823909534303391,0.015994429717488264,-0.023984328883335636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
