Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--parc+_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BV_pH7_2,-0.04669155923123269,-0.0020994010762028074,0.0031960180387629756,-0.033305628716581215,-0.12802490826615176,-0.007230268671865696,-0.0009081824951926657,0.03353669030875291,0.017593685672415985,0.04653397526592015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.07891564914754227,-0.011917480948867035,0.004310155473042118,-0.03170097644764768,-0.11898385476057785,-0.004880147492108137,-0.006771878838215182,0.05894168840174604,0.017665364551357924,0.05485319909720641,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.0476656326515924,-0.012517377072337852,0.0017760779866543804,-0.03720683257945854,-0.15054406347806043,-0.004765706691971937,-0.006825393207533204,0.06557044064788067,0.023863655766472223,0.0509152512875912,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.052127613774905705,-0.02212455176647105,0.002411460021267767,-0.04128515396064714,-0.12451721178934626,-0.004769266902509587,-0.007043405200314259,0.05637584822292885,0.023726108707892504,0.05195420605413939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.0719150795313813,-0.01218442779317822,0.00035678359639385656,-0.03138809260325102,-0.1286740083875054,-0.005044821262278635,-0.0016536846135378521,0.0578973002820883,0.02825092951605178,0.046955522336065765,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BV_pH9_1,-0.048695066087352835,-0.012161952723627509,0.0007115822512170555,-0.028504663921244767,-0.11910740246834316,-0.005523765688438129,-0.004807982593369873,0.06328716435672148,0.01355739827308318,0.0238451092912937,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BV_pH9_2,-0.06443715125038894,-0.01273385434856881,0.0017842932575908698,-0.03417479453567901,-0.15188806983460063,-0.005333621275165807,-0.003970591651437721,0.06410599617287517,0.02926216129254064,0.05998605135342349,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
CC_pH4_0,-0.02226618486456573,-0.02160577590961981,0.001195789006862628,-0.012037650058045985,-0.06123447231948375,-0.00487568091155718,0.0008243620193198981,0.037842214294992724,0.022574885887215318,-0.05781706620817599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032572508755295392
CC_pH4_1,-0.021312171530545407,-0.01750485662350674,-0.00037799784346767237,-0.015665539252045363,-0.04709857489792226,-0.005059077395936068,0.0014014154328438261,0.029035931208940303,0.018326807607815642,-0.05914551576923416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.004437627208196163
CC_pH4_2,-0.019294808424766295,-0.020236458372041258,0.0036462481344199694,-0.01730289150879759,-0.05124002306944812,-0.003041933429548921,0.001483851634775816,0.0316325151608528,0.012613752361629968,-0.05565983155013428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011803763326671925
CC_pH5_0,-0.02655692660958384,-0.026561359693296257,0.0004760592807408261,-0.013466937333628859,-0.06372705946696679,-0.0027116449679369507,0.00043932093995744786,0.039343388345821406,0.016125591476650342,-0.04076001103481521,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08114687964645667
CC_pH5_1,-0.02657947620356698,-0.01655469323609672,0.006189927777842336,-0.016571517130764928,-0.06237258404149148,-0.0053879559943047555,0.0004069566605207718,0.03305825929744574,0.018825578847090185,-0.048414075039732066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11230826956373989
CC_pH5_2,-0.03287579796884371,-0.030789294874538554,0.004955201909431946,-0.018252096336091986,-0.05645918809768297,-0.00039842084131163117,-0.0009640767814024625,0.04875746814250621,0.014914106020460954,-0.046287480285796136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09911694942295314
CC_pH6_0,-0.03521012523535477,-0.027482472535465725,0.004281702925572577,-0.0268090555227726,-0.14532227376273468,-0.0013659441467050617,0.0040583421071262475,0.049957101966416395,0.021188943957424034,0.039304201183435715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2884225051673924
