Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--wt_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BV_pH6_0,-0.011833612899721156,-0.016151466556095884,0.013824402235407872,-0.004891837028098171,0.011718855135284522,-0.0037324722791495526,-0.07974188939708728,0.02063877282066918,0.005932375602322913,0.0022722458841441117,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.02124378418160158,-0.0073225495187342945,0.008073375345126766,-0.012852106209965826,0.017720427684404932,-0.005276264874264597,-0.10087025830734767,0.018058840128309703,0.01041277244899665,0.031334921304419956,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.02630134880816078,-0.007161069521478011,0.015337706774007526,-0.015043930667351286,0.015389955530509999,-0.0045236577735403944,-0.0895186565792107,0.017117276700497005,0.01098811386355563,0.021750984360848595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.014986922829057616,-0.002990336281287928,0.011793931761918508,-0.010808110755017917,0.014814567054652245,0.0022504657126315264,-0.136585850711588,0.028410243814932595,0.00645806230392064,0.039679323484230304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.023680702017660694,0.005049067325586374,0.006199862659078739,-0.007310535709535623,0.01621811300673037,0.004592561993302535,-0.16048307569889841,0.028580544726599173,0.01637726097944719,0.05249227629230439,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,-0.025210952102358488,0.005230754692481993,0.012158214040404267,-0.01453502271329458,0.015957936668596434,0.006696838034802805,-0.15977404968681472,0.037628287961099134,0.015730139037047553,0.04415322758611697,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.04611611261477937,0.004815194434790023,0.011049551290723129,-0.011886224501472697,0.022555699337263712,0.004769497696998652,-0.10491269021122918,0.023051026779348435,0.013225829234933886,0.021483602419738537,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.035109196104332,0.009377020447231509,0.010396192506077174,-0.018278213737168064,0.028744542892698365,0.004478509764834915,-0.12157964784368547,0.03478524484145252,0.010361957756053333,0.014858963324526407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.046927993485866036,0.012402707919599897,0.009327336819437535,-0.01669848424342015,0.019376151789151863,0.0044526931791282875,-0.10571778964494237,0.035468982307280864,0.00877849060232225,0.01757327855802546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.034243184083505816,0.011378508520150635,0.0048957055857729,-0.014903981364534599,0.015329475979239721,0.005509229647400585,-0.08885514355922602,0.03140757204134666,0.009856420260368157,-0.0023392267388534617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
