Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--wt_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH4_2,0.009290159600584404,0.02633706899440807,-0.004083486784087575,-0.03914801688621874,0.018297931568130206,-0.01824785944884238,-0.010486346290487314,-0.07651445439004383,0.033935010724741484,-0.0678365928031828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.00983658349708371,0.007221662287154923,-0.0012103983873258464,-0.031022169620770472,0.022218821835906608,-0.016757281927958775,-0.009367570901370567,-0.08785183967293604,0.03112630397729252,-0.05265069858373507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.01174055431847987,0.017340226205794708,-0.0074027446479253125,-0.03515770032192054,0.022974210673052328,-0.02095755259465912,-0.007784420042906119,-0.08517300087796607,0.03700367610901594,-0.06103982933999404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.010512667376062145,0.016955076062484926,-0.005357853258433549,-0.03264507913395114,0.020110131472997044,-0.013430779341446314,-0.004779583905702054,-0.0812127523253793,0.017157659595427307,-0.055766065039712445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.016135922997542056,0.014415303753769915,-0.00021204190895609252,-0.04531117240047973,0.030814573178472728,-0.023166170748679535,-0.009250938006393287,-0.16251865255605916,0.03242894098972496,0.018207655260744297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.018328850253120713,0.020852188257419548,-0.004901273825570293,-0.05451686757414237,0.034716428706179484,-0.025269366125373734,-0.011797387130234555,-0.17310361044238443,0.03513343758557153,0.03210102344984593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.017113116613548737,0.026152562797069547,-0.008567519021099024,-0.042463080670846545,0.029194823098571403,-0.025646377869922184,-0.016223885151355165,-0.17801105500887268,0.03179855224231015,0.038196285357293885,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.016695311007940257,0.029982922284499457,-0.012612655653577783,-0.04696994950589927,0.03063882337964099,-0.02569638779467862,-0.022384595498442652,-0.1995626378642475,0.0383900701675726,0.06306251402782358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.01726034112274647,0.03696193130443926,-0.018520857100577458,-0.046281355826751046,0.03491742128425318,-0.03518366444208053,-0.020205688285438915,-0.20574705159210646,0.04781303033718596,0.06052930774896041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.01576570205390454,0.03649867981348348,-0.010142719539935173,-0.04419677362169909,0.024401935172145787,-0.02855221330309692,-0.022374755226723525,-0.18666077605408168,0.03700994311143522,0.049794399974786734,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.019261207162686023,0.051759028817000584,-0.006901848293516946,-0.05653604042432879,0.027663407184831467,-0.01820486178540665,-0.017729839067096295,-0.2063236257207135,0.036485348956092546,0.042070644737585726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
