Experiments,wt_OD<--AC_OD,wt_OD<--BA_OD,wt_OD<--BC_OD,wt_OD<--BL_OD,wt_OD<--BT_OD,wt_OD<--BV_OD,wt_OD<--CC_OD,wt_OD<--DF_OD,wt_OD<--wt_OD,wt_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH9_1,0.014255071652891199,-0.09252100450027248,0.015914416510368817,-0.024590231540572403,-0.007686453304536964,0.029179197232360433,0.03554947673950506,0.018916941873081346,0.6114974236731296,0.28346292032495785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,0.022594934024888547,-0.0908706981421489,0.019918490478202048,-0.026209079609859902,-0.008342021880266455,0.028068751652279626,0.03331412809334047,0.018383759543623618,0.6174325068214017,0.2709610958535063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,-0.001856154948472978,-0.01895259977034901,0.0048925088961487215,-0.002004139661869925,-0.00015282064676284824,0.0035883286255209332,0.006536251575807514,0.010740084075976323,-0.06324731976279745,-0.04129887570141127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,-0.0020692386542973313,-0.011911897034505787,0.0062341221098018715,-0.003778966636113498,0.00023839767455406717,0.003417738436356834,0.006842121043363991,0.009032361998182274,-0.06058699220054499,-0.04917238389951703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,-0.0026010494582031085,-0.01474348475954131,0.0054887436557075255,-0.002890191979139396,-0.0009976396531514507,0.0028458751932434402,0.005600659524940927,0.010509614724584894,-0.06189046689633118,-0.043076797553702535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,-0.0034430521791395936,-0.017476438674670847,0.00549495474313912,-0.003059856506145519,-0.00038209392648676195,0.0038818605470916493,0.006770549528300762,0.0094296317924138,-0.06505491079033718,-0.037915381645054924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,-0.003245306277404663,-0.01735622966459588,0.005288549724399394,-0.0045919390654434325,-0.0008826523436152424,0.004341293704574522,0.00655477598471486,0.012974524483408616,-0.06517782983208156,-0.039659923889633755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,-0.0027345165739888753,-0.01997703859218113,0.007104050828062968,-0.0034284628510637127,-0.00037755491778902446,0.003365534863880147,0.006520075116549497,0.009762272081621315,-0.06183719624684232,-0.040151901026458846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,-0.0015838207401659182,-0.020743457446603674,0.006002755187775778,-0.0038689514541107666,-0.0008063118208361713,0.0038006668833448823,0.00793695799803928,0.009614245112499465,-0.08308685955631995,-0.019019961520705536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,-0.0016140113673780276,-0.024149556459616056,0.006881902971021505,-0.0068743182787590704,0.00010563466252516137,0.005252054239744725,0.008274646092044272,0.015315907746553422,-0.0912540068283029,-0.013692990342236089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,-0.0016285008775151297,-0.023117527573005014,0.007265130292786202,-0.005165110087913016,-0.00066133658523145,0.003975128183222335,0.008112457223317545,0.014853659053535565,-0.08892317762557901,-0.016465459568021094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,-0.004713951478833739,-0.023297330160908725,0.007482548323662384,-0.004665253954818068,-0.0005297385269533031,0.004303174375191978,0.008465613517505317,0.012853814017270569,-0.11485159198875017,0.013197978636168908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,-0.004903642930414367,-0.02210554330771708,0.005187511048887086,-0.006007924571066448,-3.721193774886966e-05,0.004362609824165702,0.007701687861800844,0.014789550809351645,-0.11430253620542914,0.013560762206578387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,-0.004473941037836284,-0.023204200807148995,0.0070781734342808275,-0.004260372588329989,-0.0010453255377385927,0.0036629151779672365,0.007675254362756789,0.014287585214428283,-0.11469166124927933,0.013216835609029816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,-0.004805264055081039,-0.02177488818926656,0.006176168150875878,-0.004277202281291072,-0.000723771634309189,0.003302927431852922,0.006956212096240211,0.012234177280055441,-0.11897545629383428,0.020132359632331398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,-0.004977306937393934,-0.02283923386555651,0.006605144740770689,-0.006650229067258212,-0.0007025294702338145,0.004881528415514722,0.008150725996364721,0.014223192196501342,-0.12099530468654374,0.020549274932026212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,-0.00514924123235371,-0.02413435339765704,0.00737821175514356,-0.00481889120100633,-0.0017075622632451693,0.005630823284711527,0.008682703032441761,0.010963316349231674,-0.11995485234033802,0.0213551082543057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,-0.004335644008672758,-0.023168335495840593,0.006302519184739691,-0.005382414488931711,-0.0005924580059945588,0.005669660371039874,0.00801664295889761,0.012269681316759921,-0.12382783035707214,0.02329344074039355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
