Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--wt_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH4_1,-0.05423068297136089,0.005392325044326158,0.006888238439417401,-0.004636954533989016,0.003555057528226272,0.009231319709316543,0.010121864179230253,0.006293055288817574,0.004424666142010169,-0.04583842709174624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.05914397553257319,0.004939106226615284,0.007372583013189876,-0.003923449077360007,0.0010282931995132688,0.008376867787345598,0.008490330137960288,0.011559553400653861,0.0016995271862201068,-0.03919837456520485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.06695166571146767,0.0054199563258368055,0.008976964853380039,-0.0035759218328672896,0.0038012354853360552,0.00803244923443898,0.009106034301221375,0.010859860500887686,0.0046172794003201565,-0.039085733905110664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.06204089182712462,0.005953686810705972,0.012114138089768267,-0.008910485295497853,0.0011216597421013796,0.010864647626876832,0.00896388198046581,0.0031156590872484687,0.002840768709454846,-0.032822602940318364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.06642385383986907,0.005912163377456045,0.012199277424294015,-0.004418942967186803,-0.0010736012685558071,0.00925178246005722,0.007830389553438063,0.008682238164803256,0.003304496185611123,-0.0340634871063673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.08258571127510589,0.006852941108138666,0.009489573274293672,-0.007933708902286446,0.004678355618987395,0.009570426043608915,0.008404043115999389,0.01821042988125397,0.0009140528673711018,-0.026399939748580042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.09565693388490573,0.007219759553023008,0.012004894486264047,-0.005624926530796548,0.0014570444368797793,0.008401398759173314,0.012547046104850978,0.015464242376063173,0.008215051385695518,-0.022827114702566806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.09369635408339293,0.006035821842758551,0.013338581692913305,-0.004889015011165454,0.00033809967177069546,0.008897708074554153,0.008091007096935877,0.017425130288238104,0.005034292579992957,-0.019374810168924537,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.1464153547212481,0.00743665018807287,0.015698207973138145,-0.010671100632651993,0.009078567358462707,0.013351254678614765,0.011445225799537224,0.021263945540008336,0.00897686086109151,0.011036204750771108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.1549737859258185,0.007490298262108928,0.018054608197315882,-0.01372512625611347,0.004238533576869446,0.012181619047794653,0.010749657677243585,0.025028028491398558,0.011656411926707497,0.020500216715685696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.15088685858022907,0.007492891656963723,0.017622577546407347,-0.009711765203139057,0.007815031325039657,0.01303462847743345,0.01112177097603031,0.023133812807500365,0.007743841246094393,0.013834531731579615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.1702511463411476,0.009164133541609932,0.015414473152031068,-0.012201024018551996,0.005421231850657774,0.010967500017065071,0.013348941250663741,0.02213126210576814,0.01251626423195652,0.0346888261936281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
